[Header]
TITLE,20220201-VERTICAL_2.Dat
BYAPP,HeatCapacity,3.9.6,1.7
INFO,2.8,MASS:Sample Mass (mg)
INFO,,MASSERR:Sample Mass Error (mg)
INFO,985.272,MOLWGHT:Formula Weight (g/mole)
INFO,,ATOMS:Atoms per Formula Unit
INFO,PPMS Heat Capacity Option 3.9.6 Build 3,APPNAME
DATATYPE,TIME,1
DATATYPE,COMMENT,2
STARTUPAXIS, X, 8, LINEAR, AUTO
STARTUPAXIS, Y1, 10, LINEAR, AUTO
[Data]
Time Stamp (Seconds),Comment (),System Status (Code),Puck Temp (Kelvin),System Temp (Kelvin),Field (Oersted),Pressure (Torr),Sample Temp (Kelvin),Temp Rise (Kelvin),Samp HC (J/mole-K),Samp HC Err (J/mole-K),Addenda HC (µJ/K),Addenda HC Err (µJ/K),Total HC (µJ/K),Total HC Err (µJ/K),Fit Deviation (ChiSquare),Time Const tau1 (seconds),Time Const tau2 (seconds),Sample Coupling (Percent),Debye Temp (Kelvin),Debye Temp Err (Kelvin),Cal Correction (Factor),Therm Resist (Ohms),Htr Resist (Ohms),Puck Resist (Ohms),Wire Cond (W/K),Meas Time (seconds),Temp Squared (K^2),Samp HC/Temp (J/mole-K/K),Addenda Offset HC (µJ/K)
3852894501.68954,,1857,7.39991,7.39991,0.29983881,9.8999999E-6,7.4155854,0.15693244,13.83431,0.01201,7.2017611,0.01681,46.516862,0.03414,3.1567319,6.5684657,0.010235063,98.80294,,,1,,,,7.1432325E-6,13.463348,54.990906,1.8655722,0
3852894659.05578,,1857,7.59979,7.59979,0.23987105,9.8999999E-6,7.6171681,0.16109991,13.784853,0.01188,7.7126062,0.01753,46.887157,0.03376,2.4613923,6.3867641,0.010114329,98.842327,,,1,,,,7.4014196E-6,13.136931,58.02125,1.8097084,0
3852894813.70443,,1857,7.79997,7.79997,0.28784525,9.8999999E-6,7.8185672,0.1650752,13.728572,0.01282,8.2442457,0.01791,47.258855,0.03643,2.6313092,6.2480279,0.010900517,98.783114,,,1,,,,7.6274185E-6,12.773528,61.129993,1.7558936,0
3852894969.19142,,1857,7.99999,7.99999,0.25186461,9.8999999E-6,8.0203504,0.16930596,13.698189,0.013,8.7918791,0.01814,47.720143,0.03696,3.1921186,6.11046,0.010997012,98.797672,,,1,,,,7.8729434E-6,12.496056,64.326021,1.707929,0
3852895123.24624,,1857,8.19928,8.19928,0.23987105,9.8999999E-6,8.2222808,0.17337045,13.680064,0.01334,9.3592913,0.01845,48.236047,0.03791,2.3110593,5.9932079,0.011423544,98.776569,,,1,,,,8.1133321E-6,12.22092,67.605902,1.6637797,0
3852895275.39673,,1857,8.40001,8.40001,0.25186461,9.8999999E-6,8.4240093,0.17754679,13.665393,0.01331,9.9509333,0.01907,48.785996,0.03782,1.8684047,5.8866196,0.012021791,98.73785,,,1,,,,8.3548762E-6,11.986416,70.963933,1.6221959,0
3852895427.65382,,1857,8.59999,8.59999,0.25186461,9.8999999E-6,8.6259151,0.18146073,13.686776,0.01405,10.559549,0.02014,49.455381,0.03992,1.8517963,5.7846554,0.012339329,98.725778,,,1,,,,8.6178095E-6,11.773239,74.406411,1.5867043,0
3852895577.2736,,1857,8.79996,8.79996,0.25186461,9.8999999E-6,8.8275582,0.18565036,13.699833,0.01529,11.18862,0.02162,50.121557,0.04345,1.4651554,5.7119765,0.012981769,98.685608,,,1,,,,8.8454974E-6,11.569311,77.925784,1.5519391,0
3852895728.16888,,1857,9.00034,9.00034,0.2278775,9.8999999E-6,9.0297554,0.19006151,13.719309,0.0158,11.840008,0.02336,50.828292,0.04491,1.4384312,5.6293438,0.013317086,98.672798,,,1,,,,9.100796E-6,11.423953,81.536483,1.5193444,0
3852895878.77476,,1857,9.19998,9.19998,0.2278775,9.8999999E-6,9.231455,0.19408539,13.757156,0.01586,12.510285,0.02523,51.606126,0.04508,2.9125861,5.5637342,0.013937534,98.633072,,,1,,,,9.3494107E-6,11.258688,85.219761,1.4902479,0
3852896028.42605,,1857,9.39985,9.39985,0.25186461,9.8999999E-6,9.4335773,0.19841113,13.795092,0.017,13.202282,0.02708,52.40593,0.0483,1.642299,5.5045203,0.01429539,98.619552,,,1,,,,9.5952998E-6,11.127468,88.992381,1.4623394,0
3852896177.21058,,1857,9.59996,9.59996,0.21588394,9.8999999E-6,9.6354547,0.20254869,13.858683,0.01853,13.91365,0.02884,53.298016,0.05267,2.8739392,5.4575171,0.015112702,98.562443,,,1,,,,9.8439778E-6,11.009041,92.841987,1.4383009,0
3852896325.57878,,1857,9.80042,9.80042,0.20389038,9.8999999E-6,9.8373734,0.20670642,13.921673,0.0193,14.652304,0.03067,54.215677,0.05485,2.5884863,5.404855,0.015159475,98.576371,,,1,,,,1.0108284E-5,10.915034,96.773915,1.4151819,0
3852896472.24569,,1857,10.0001,10.0001,0.2278775,9.8999999E-6,10.039286,0.21068687,13.993605,0.019,15.404585,0.03269,55.172379,0.05399,1.7228963,5.3660461,0.016138969,98.504507,,,1,,,,1.0363102E-5,10.80971,100.78726,1.3938845,0
3852896641.39317,,1857,11.0002,11.0002,0.2278775,9.8999999E-6,11.046675,0.22965179,14.611801,0.02767,19.455786,0.04818,60.980404,0.07862,1.1925254,5.2862346,0.019190729,98.330848,,,1,,,,1.162683E-5,10.133878,122.02903,1.3227329,0
3852896817.24965,,1857,13.0005,13.0005,0.20389038,9.8999999E-6,13.057308,0.26959987,16.613458,0.04346,28.96899,0.05718,76.182025,0.1235,0.21670153,5.491639,0.029186258,97.756144,,,1,,,,1.3995324E-5,10.572469,170.49328,1.2723494,0
3852897226.29745,,1857,14.9991,14.9991,0.23987105,9.8999999E-6,15.140769,0.31037086,19.611855,0.03982,40.800331,0.07986,96.534376,0.1132,2.820332,5.7580672,0.031451829,97.777813,,,1,,,,1.6892774E-5,10.983278,229.24288,1.2953011,0
3852897424.94844,,1857,17.0004,17.0004,0.25186461,9.8999999E-6,17.133726,0.34230861,23.327345,0.07598,54.062734,0.1286,120.35566,0.2159,0.26222926,6.4375647,0.047020856,97.081114,,,1,,,,1.8867645E-5,11.516134,293.56456,1.361487,0
3852897637.24553,,1857,18.9999,18.9999,0.25186461,9.8999999E-6,19.151985,0.38536222,27.77915,0.09587,69.187491,0.1521,148.1318,0.2724,0.22821402,7.0478513,0.05428199,96.945964,,,1,,,,2.1207536E-5,12.875129,366.79855,1.450458,0
3852897872.46253,,1857,21,21,0.20389038,9.8999999E-6,21.1711,0.42617618,32.695845,0.1282,85.772694,0.1885,178.68954,0.3642,0.50528562,7.6969101,0.062471264,96.795371,,,1,,,,2.342529E-5,14.095703,448.21548,1.5443621,0
